platform,post_id,content,publish_time,like_count,comment_count,crawl_time,url,comment_content,comment_users
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,扫二维码下载贴吧客户端,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,下载贴吧APP,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,看高清直播、视频！,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,贴吧热议榜,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1美军拉了!航母到处喷粪,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1595130,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,2赢太多!老美求川普别赢了,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1529808,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,"3压抑宅男相亲,二次元味太冲",未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1484644,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,"4毛孩子闹觉,逆天邪修轻松拿捏",未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1369386,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,5邪门CP!猩猩染指二次元女神,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1312506,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,6血亏!4090显卡4千元被秒,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,1053725,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,7BLG横扫NIP轻松下班,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,832104,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,"8人权大过天,老外迷上中国史",未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,674912,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,9艳福不浅!萝莉妹猛撩吧友,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,561374,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,"10WBG零封IG,春之虎苏醒",未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,497763,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,贴吧页面意见反馈,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,贴吧违规信息处理公示,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,发贴请遵守贴吧协议及“七条底线”贴吧投诉,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,保存至快速回贴,未知用户
tieba,tieba_0_1772068031,送TA礼物 IP属地:吉林来自iPhone客户端1楼2025-12-26 16:02 回复,NULL,NULL,NULL,2026-02-26 09:07:11,https://tieba.baidu.com/p/10338100935,©2026 Baidu贴吧协议|隐私政策|吧主制度|意见反馈|网络谣言警示,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,，跳到 页 确定,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,<返回上海迪士尼吧,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,她说最美的遇见,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,点亮奇梦,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,想问小小型三脚架八爪鱼那种可以带吗，不能伸缩的那种，如果不能的话情侣拍照有带什么的呀，蟹蟹辣！,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,39,来自Android客户端34楼2019-01-02 22
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,usss,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,这个人说的是真的吗 如果是的话实习生可以享受到这个福利吗,未知用户
tieba,tieba_1_1772068055,上海迪士尼工作2年多，有想入职或者准备入职的朋友可以来问问题哦，,NULL,NULL,NULL,2026-02-26 09:07:35,https://tieba.baidu.com/p/5973557445,浙江来自iPhone客户端35楼2019-01-02 23:37,IP属地
