platform,video_id,video_title,video_author,comment_id,comment_author,comment_content,comment_like_count,comment_time,crawl_time
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_2,NULL,回复,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_4,NULL,光芒万张女士,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_5,NULL,回复,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_7,NULL,作者,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_10,NULL,回复,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_13,NULL,回复,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_16,NULL,回复,NULL,NULL,2026-02-28 05:59:47
抖音,7584751232783240500,上海迪士尼必玩八大项目，你玩过几个#上海迪士尼必玩项目推荐 #迪士尼 #旅行推荐官 #疯狂动物城,NULL,douyin_cmt_7584751232783240500_18,NULL,作者,NULL,NULL,2026-02-28 05:59:47
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_1,NULL,我是君君吖,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_2,NULL,回复,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_5,NULL,回复,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_8,NULL,回复,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_10,NULL,Daniel_zheng,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_11,NULL,回复,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_14,NULL,回复,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_16,NULL,凌琦（已有闺蜜）,NULL,NULL,2026-02-28 06:00:12
抖音,7611143944180632858,#上海迪士尼10周年庆典3月20日开启！持续一整年！#全新疯狂动物城花车亮相当天早鸟票609元！门票可当拼图收集,NULL,douyin_cmt_7611143944180632858_17,NULL,回复,NULL,NULL,2026-02-28 06:00:12
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_1,NULL,作者,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_4,NULL,回复,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_7,NULL,回复,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_10,NULL,回复,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_12,NULL,作者,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_15,NULL,回复,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_17,NULL,送糖小天使,NULL,NULL,2026-02-28 06:00:38
抖音,6950212873012399373,第一次到上海迪士尼如何玩遍所有项目？！最新宝藏攻略来啦！ #迪士尼 #抖音元气春游计划 #心动的春日假期,NULL,douyin_cmt_6950212873012399373_18,NULL,回复,NULL,NULL,2026-02-28 06:00:38
抖音,7584602323277712677,上海迪士尼20多个游玩项目，只有这8个才是最适合游玩的。你玩过哪一个呢？#上海迪士尼 #上海迪士尼旅游攻略 #亲子游玩好去处 #迪士尼在逃公主 #上海旅游攻略,NULL,douyin_cmt_7584602323277712677_1,NULL,作者,NULL,NULL,2026-02-28 06:01:02
抖音,7584602323277712677,上海迪士尼20多个游玩项目，只有这8个才是最适合游玩的。你玩过哪一个呢？#上海迪士尼 #上海迪士尼旅游攻略 #亲子游玩好去处 #迪士尼在逃公主 #上海旅游攻略,NULL,douyin_cmt_7584602323277712677_4,NULL,回复,NULL,NULL,2026-02-28 06:01:02
抖音,7584602323277712677,上海迪士尼20多个游玩项目，只有这8个才是最适合游玩的。你玩过哪一个呢？#上海迪士尼 #上海迪士尼旅游攻略 #亲子游玩好去处 #迪士尼在逃公主 #上海旅游攻略,NULL,douyin_cmt_7584602323277712677_7,NULL,回复,NULL,NULL,2026-02-28 06:01:02
抖音,7584602323277712677,上海迪士尼20多个游玩项目，只有这8个才是最适合游玩的。你玩过哪一个呢？#上海迪士尼 #上海迪士尼旅游攻略 #亲子游玩好去处 #迪士尼在逃公主 #上海旅游攻略,NULL,douyin_cmt_7584602323277712677_9,NULL,春眠不觉晓,NULL,NULL,2026-02-28 06:01:02
抖音,7584602323277712677,上海迪士尼20多个游玩项目，只有这8个才是最适合游玩的。你玩过哪一个呢？#上海迪士尼 #上海迪士尼旅游攻略 #亲子游玩好去处 #迪士尼在逃公主 #上海旅游攻略,NULL,douyin_cmt_7584602323277712677_10,NULL,回复,NULL,NULL,2026-02-28 06:01:02
抖音,7584602323277712677,上海迪士尼20多个游玩项目，只有这8个才是最适合游玩的。你玩过哪一个呢？#上海迪士尼 #上海迪士尼旅游攻略 #亲子游玩好去处 #迪士尼在逃公主 #上海旅游攻略,NULL,douyin_cmt_7584602323277712677_13,NULL,回复,NULL,NULL,2026-02-28 06:01:02
